"Moment ID",Region,Timestamp
MvmyZAV-Zz0nNw0HMFaWh,asia-west,"2023-07-26 08:40:09"
wk_i2Id6mrN910QuYqeLv,asia-east,"2023-07-26 05:12:22"
oW1VYVoAa0K02dhoqLUJA,us-central,"2023-07-26 02:49:53"
_p5U3M7ARMScRqOyj28wv,asia-west,"2023-07-25 13:58:12"
_IfzF97bczaPMwY40_oP1,europe-west,"2023-07-25 11:28:05"
yLBErGnPrTF6E5CHMGE_5,asia-east,"2023-07-25 05:42:15"
pJv3WOdDk_fBm_hywNHNs,us-central,"2023-07-25 03:53:08"
rMcn0JnuOX05q2vYgo7lU,europe-west,"2023-07-24 19:27:57"
ccZbfxZz0jpTMOopBs9nu,asia-west,"2023-07-24 16:33:12"
hjCAo4ue8rgxBLG3OvOON,asia-east,"2023-07-24 13:25:27"
M0VQd0H6FBG85WbcE2a8f,us-central,"2023-07-24 02:00:39"
xFS9SmIY3unbLgx6ZP4Zw,europe-west,"2023-07-23 19:11:13"
kzlgg1_qM1M5MwSivE9I7,asia-east,"2023-07-23 10:00:25"
tYORP1Shiiz-nwIA1O2is,asia-west,"2023-07-23 08:51:12"
LcR85FKX4odjAqfi0hzkJ,us-central,"2023-07-23 02:37:43"
pscq0La3v4_bR2lUvwyCv,asia-west,"2023-07-22 17:12:13"
i5LVR2910xdYdSppmIbXy,europe-west,"2023-07-22 16:22:09"
oebrA0CdnuEP2mh1ncQYo,asia-east,"2023-07-22 09:27:30"
Ob2-_kirTkXaoCNUA_laW,us-central,"2023-07-21 21:39:46"
8vzXy1B2CxlIkcRcKZCKu,europe-west,"2023-07-21 20:57:41"
K8XCBIY9esmrSjjdquw32,asia-west,"2023-07-21 08:51:11"
9pEl_hhN5JPC6LBZ-Qj77,asia-east,"2023-07-21 03:56:34"
mtyoZIh1etdqM348m1q00,us-central,"2023-07-20 21:49:50"
hnCH4qwy1hF7fbEA_W7d8,europe-west,"2023-07-20 17:52:47"
cuixcVmWkChknpA6MVjkk,asia-west,"2023-07-20 12:36:14"
z_FAh8h3-iM2DiyZQxhKM,asia-east,"2023-07-20 03:23:27"
gp1ovvI-o7jhk8lifTQdy,us-central,"2023-07-20 00:51:58"
FKVDxYK9fo5KY8lBO09QZ,asia-west,"2023-07-19 17:53:21"
